,celeba_age,identity,gender,race
5,0.045,0.301,0.062,0.106
120,0.006,0.300,0.138,0.001
146,0.040,0.300,0.087,0.046
67,0.040,0.299,0.288,0.057
195,0.024,0.299,0.180,0.081
123,0.015,0.299,0.105,0.049
87,0.001,0.299,0.155,0.082
70,0.002,0.299,0.079,0.009
12,0.028,0.298,0.022,0.014
173,0.009,0.298,0.163,0.013
0,0.039,0.298,0.100,0.046
101,0.027,0.298,0.091,0.080
128,0.024,0.297,0.022,0.039
39,0.005,0.296,0.115,0.005
53,0.035,0.296,0.270,0.018
115,0.072,0.296,0.325,0.006
171,0.026,0.296,0.190,0.005
19,0.060,0.296,0.107,0.067
94,0.022,0.296,0.087,0.084
176,0.017,0.295,0.142,0.050
41,0.009,0.294,0.097,0.021
141,0.029,0.293,0.131,0.012
177,0.011,0.292,0.122,0.016
161,0.015,0.292,0.128,0.056
27,0.022,0.291,0.143,0.003
158,0.007,0.291,0.095,0.034
189,0.024,0.290,0.005,0.004
52,0.028,0.289,0.007,0.028
166,0.043,0.289,0.153,0.072
4,0.005,0.289,0.175,0.016
197,0.024,0.288,0.157,0.014
143,0.063,0.287,0.246,0.040
160,0.030,0.287,0.090,0.093
97,0.010,0.286,0.270,0.002
7,0.038,0.286,0.219,0.035
198,0.001,0.285,0.345,0.012
23,0.018,0.285,0.296,0.005
88,0.024,0.283,0.018,0.073
155,0.006,0.283,0.215,0.050
151,0.043,0.283,0.010,0.019
62,0.006,0.281,0.068,0.018
57,0.002,0.281,0.122,0.066
168,0.034,0.281,0.162,0.012
118,0.041,0.281,0.085,0.063
150,0.007,0.280,0.112,0.067
122,0.019,0.280,0.176,0.076
194,0.001,0.279,0.122,0.010
66,0.013,0.278,0.070,0.013
126,0.026,0.278,0.015,0.010
24,0.015,0.278,0.033,0.055
11,0.000,0.277,0.102,0.075
74,0.002,0.277,0.111,0.052
132,0.049,0.275,0.129,0.054
137,0.001,0.275,0.083,0.069
43,0.025,0.274,0.097,0.112
186,0.012,0.274,0.296,0.036
81,0.015,0.273,0.135,0.015
21,0.023,0.272,0.208,0.022
8,0.041,0.271,0.037,0.063
47,0.004,0.271,0.005,0.026
175,0.061,0.270,0.066,0.016
76,0.009,0.266,0.053,0.029
42,0.062,0.264,0.019,0.006
157,0.013,0.264,0.084,0.025
104,0.023,0.263,0.040,0.023
73,0.006,0.263,0.349,0.027
64,0.017,0.262,0.040,0.012
127,0.057,0.261,0.173,0.024
35,0.015,0.260,0.101,0.077
149,0.019,0.260,0.141,0.006
83,0.024,0.260,0.007,0.042
45,0.022,0.259,0.108,0.010
136,0.023,0.258,0.087,0.049
90,0.036,0.257,0.051,0.036
30,0.057,0.257,0.045,0.027
121,0.047,0.256,0.297,0.042
180,0.043,0.253,0.131,0.009
71,0.024,0.252,0.249,0.012
89,0.031,0.251,0.014,0.027
153,0.007,0.251,0.058,0.023
130,0.040,0.250,0.057,0.081
32,0.016,0.244,0.075,0.064
16,0.002,0.244,0.104,0.009
112,0.030,0.241,0.049,0.020
46,0.008,0.241,0.114,0.004
106,0.048,0.234,0.010,0.010
65,0.024,0.234,0.061,0.083
187,0.011,0.233,0.146,0.015
99,0.016,0.226,0.108,0.026
117,0.011,0.223,0.129,0.015
68,0.019,0.194,0.047,0.034
